name,gender,attribute,id
Aeldret,der,verneinend,
Aelfraed,der,dornig,
Aelgar,der,strikt,
Aelger,der,mörderisch,
Aelmar,der,herb,
Aelmer,der,ungerührt,
Aeluin,der,eisern,
Aeluuin,der,fühlbar,
Aenesidemos,der,diabolisch,
Aeolus,der,unzivilisiert,
Aeropus,der,irrsinnig,
Aeschreas,der,streng,
Aesculapius,der,erbittert,
Aesepus,der,bestialisch,
Aeson,der,empört,
Aesop,der,furchtbar,
Aetes,der,sündig,
Aethelmaer,der,verärgert,
Aethelraed,der,grob,
Aethon,der,entschlossen,
Aetion,der,heftig,
Aetios,der,empfindlich,
Aetolos,der,gefühlsarm,
Agamedes,der,grauenvoll,
Agamemnon,der,vehement,
Aganbold,der,teilnahmslos,
Agapenor,der,unbeteiligt,
Agapetus,der,terribel,
Agapias,der,gemein,
Agastrophos,der,ekelhaft,
Agathocles,der,beklemmend,
Agathon,der,sinnenfroh,
Agbal,der,grobsinnlich,
Ageio,der,widersprüchlich,
Agelaus,der,beträchtlich,
Agenor,der,ungehörig,
Ager,der,radikal,
Agesilaus,der,griesgrämig,
Agetos,der,taktlos,
Agid,der,ungerührt,
Agila,der,gewichtig,
Agilbert,der,beängstigend,
Agilof,der,gravierend,
Agilulf,der,makaber,
Agin,der,frostklirrend,
Agino,der,ungehorsam,
Agis,der,arg,
Agiwulf,der,kaltherzig,
Agnellus,der,schmerzhaft,
Agnien,der,ungesittet,
Agobard,der,rabiat,
Agosti,der,grob,
Agoztar,der,unhöflich,
Agrias,der,viehisch,
Agriwulf,der,sadistisch,
Agu,der,dornig,
Ahthari,der,unselig,
Ahu,der,hingabefähig,
Aiantes,der,übermäßig,
Aias,der,fürchterlich,
Aide,der,martervoll,
Aidoingus,der,unpassend,
Aiert,der,griesgrämig,
Aigeus,der,schauervoll,
Aignen,der,teilnahmslos,
Aigo,der,unliebenswürdig,
Aigulf,der,verstimmt,
Ailbert,der,sarkastisch,
Ailbric,der,tadelnswert,
Ailbriht,der,beängstigend,
Ailmar,der,handgemein,
Ailmer,der,fühlbar,
Ailred,der,hingabefähig,
Ailuin,der,unglaublich,
Ailwin,der,herzlos,
Ailwinus,der,katastrophal,
Aimar,der,unnachgiebig,
Aime,der,ruppig,
Aimeri,der,beträchtlich,
Aimeric,der,erzürnt,
Aimeriguet,der,handfest,
Aimery,der,widrig,
Aingeru,der,albtraumhaft,
Aintza,der,ekelhaft,
Aioro,der,flegelhaft,
Aire,der,misanthropisch,
Airopos,der,rabiat,
Aischylos,der,traurig,
Aistan,der,angsterregend,
Aistulf,der,unangenehm,
Aita,der,seelenlos,
Aithanarid,der,schaudererregend,
Aitor,der,hässlich,
Aitzol,der,bitterkalt,
Akadios,der,bissig,
Akamas,der,abscheuerregend,
Aketza,der,abscheulich,
Aktis,der,heikel,
Aktor,der,entsetzlich,
Akuhata,der,teuflisch,
Alahis,der,unerträglich,
Alain,der,falsch,
Alainon,der,gleichgültig,
Alaire,der,kaltherzig,
Alana,der,ungerührt,
Alane,der,drakonisch,
Alanus,der,engstirnig,
Alaon,der,empfindlich,
Alar,der,wütend,
Alarabi,der,kaltblütig,
Alard,der,bitterkalt,
Alarge,der,reserviert,
Alaric,der,reserviert,
Alaricus,der,hart,
Alart,der,frostklirrend,
Alastor,der,irrsinnig,
Alatheus,der,verhängnisvoll,
Alatz,der,unrecht,
Alaviv,der,ungeschliffen,
Alazaïs,der,mitleidslos,
Alberi,der,leidig,
Alberic,der,empört,
Albericus,der,mürrisch,
Albertus,der,schwer,
Albgast,der,bedrohend,
Albi,der,stumpf,
Albin,der,eisenfest,
Albinus,der,wutschäumend,
Albirich,der,unpassend,
Alboin,der,zornig,
Albrict,der,missgelaunt,
Alcaeos,der,schauderbar,
Alcandros,der,schaudererregend,
Alcher,der,skrupellos,
Alcides,der,kränkend,
Alcimos,der,grobsinnlich,
Alcinous,der,gehörig,
Alcmaion,der,horrend,
Alcman,der,bewusstlos,
Alcock,der,falsch,
Alcon,der,unsentimental,
Aldebrand,der,gewalttätig,
Aldemund,der,destruktiv,
Alderan,der,herzzerreißend,
Aldin,der,fürchterlich,
Aldis,der,kannibalisch,
Aldo,der,unbeeindruckt,
Aldredus,der,greislich,
Aldret,der,schreckenerregend,
Alduin,der,hundekalt,
Aldun,der,sarkastisch,
Aldus,der,gewissenlos,
Aldyn,der,egoistisch,
Aleaume,der,griesgrämig,
Aleaumin,der,ungehobelt,
Alec,der,grobschlächtig,
Aleck,der,teilnahmslos,
Alector,der,viehisch,
Alein,der,zornig,
Alektryon,der,unselig,
Alerot,der,schauderhaft,
Alesander,der,bestialisch,
Alesaunder,der,bedauerlich,
Alestan,der,rabiat,
Aleuas,der,schreckhaft,
Alewyn,der,hingabefähig,
Alex,der,handgemein,
Alexandir,der,unpassend,
Alexandros,der,gereizt,
Alexarchos,der,heillos,
Alexias,der,rabiat,
Alexis,der,ungeschliffen,
Alexon,der,intensiv,
Aleyn,der,handfest,
Aleyne,der,bedrohlich,
Alfan,der,schonungslos,
Alfonce,der,beachtlich,
Alfredus,der,geladen,
Algar,der,schaudervoll,
Alger,der,ungut,
Algor,der,unwillig,
Aliaume,der,empfindungslos,
Alica,der,übel,
Alick,der,übellaunig,
Aligern,der,teuflisch,
Alimahus,der,roh,
Alisander,der,bestimmt,
Alisandre,der,ungeheuer,
Alisaunder,der,schäbig,
Alistair,der,bitterkalt,
Alixandre,der,lüstern,
Alizaunder,der,ausschweifend,
Alkamenos,der,verärgert,
Alkestis,der,widerlich,
Alketas,der,heftig,
Alkibiades,der,missgelaunt,
Alkides,der,irrsinnig,
Alkimachos,der,außerordentlich,
Alkiphron,der,unsanft,
Alkmaion,der,übelgelaunt,
Alla,der,totalitär,
Allan,der,wirksam,
Allande,der,verstimmt,
Allen,der,übelgelaunt,
Alleyn,der,außergewöhnlich,
Allowin,der,abgründig,
Almanzor,der,ausschweifend,
Almer,der,libidinös,
Almeric,der,ungeschliffen,
Almericus,der,wutschäumend,
Alo,der,grausig,
Alodet,der,drakonisch,
Aloeus,der,herzlos,
Alois,der,hingabefähig,
Alots,der,verletzend,
Aloysius,der,unlieb,
Alphaeus,der,rüde,
Alpheos,der,heikel,
Alphesiboeus,der,verletzend,
Alphios,der,furchtbar,
Alphonsins,der,gemein,
Alret,der,taktlos,
Alsandre,der,grausig,
Altes,der,infernalisch,
Altzibar,der,gefühlsarm,
Aluer,der,unzugänglich,
Aluerad,der,gesinnt,
Aluerd,der,gespenstisch,
Alueredus,der,fühlbar,
Alured,der,eiskalt,
Aluredus,der,verneinend,
Aluret,der,verletzend,
Aluuin,der,hochnäsig,
Aluuine,der,kompromisslos,
Alvar,der,heikel,
Alvere,der,bedrohlich,
Alvery,der,böse,
Alvredus,der,schaudererregend,
Alwinus,der,grobschlächtig,
Alwyn,der,wutentbrannt,
Alwyne,der,qualvoll,
Alyattes,der,bewusstlos,
Alyaume,der,strikt,
Alypius,der,schröcklich,
Alysandir,der,unsentimental,
Amadeus,der,ungut,
Amal,der,gruselig,
Amalaric,der,traurig,
Amalric,der,eisenfest,
Amalrich,der,eisenfest,
Amalricus,der,bedauerlich,
Amalvis,der,erschreckend,
Amand,der,triebhaft,
Amanieu,der,schauerlich,
Amarinceus,der,höllisch,
Amator,der,bissig,
Amatus,der,höllisch,
Amaud,der,erbittert,
Amauri,der,frostklirrend,
Amaurri,der,kaltschnäuzig,
Amaury,der,schröcklich,
Ambe,der,gefühlsarm,
Ambrico,der,heikel,
Ambricus,der,empfindungslos,
Ambroise,der,krude,
Ambrosius,der,übelgelaunt,
Ambroys,der,abgründig,
Ambure,der,gehörig,
Ame,der,ungerecht,
Ameinias,der,unempfänglich,
Ameinokles,der,drakonisch,
Amélien,der,primitiv,
Amer,der,gravierend,
Americ,der,benommen,
Americus,der,triebhaft,
Amery,der,hemmungslos,
Ames,der,kalt,
Ametz,der,hundekalt,
Amfrid,der,horrend,
Amfridus,der,grauenhaft,
Amiantos,der,eng,
Amias,der,bestimmt,
Amiel,der,verroht,
Amigart,der,eisern,
Amils,der,wutschnaubend,
Amiot,der,menschenfeindlich,
Amirrutzes,der,gewissenlos,
Amis,der,engstirnig,
Amisius,der,abgestumpft,
Ammius,der,apodiktisch,
Ammonianus,der,unlieb,
Amo,der,tödlich,
Amohia,der,unbeschreiblich,
Amompharetos,der,übellaunig,
Amopaon,der,abgründig,
Ampelius,der,terribel,
Amphiaraos,der,leidenschaftslos,
Amphidamos,der,disziplinarisch,
Amphimachos,der,hochnäsig,
Amphimnestus,der,tätlich,
Amphinomous,der,beunruhigend,
Amphion,der,erbittert,
Amphios,der,wütend,
Amphitrion,der,wutschnaubend,
Ampho,der,schlagend,
Amuruza,der,eingeschlafen,
Amyas,der,misanthropisch,
Amyntas,der,eiskalt,
Amyntor,der,ungeheuer,
Amyon,der,brüsk,
Amyris,der,unliebenswürdig,
Amythaon,der,gefühlsarm,
Anabesineos,der,außerordentlich,
Anacharsis,der,sündig,
Anafrid,der,unartig,
Anagastes,der,sadistisch,
Anaia,der,verneinend,
Anakletos,der,erschröcklich,
Anakoz,der,diktatorisch,
Anakreon,der,ungerecht,
Anartz,der,gewichtig,
Anastasios,der,unkollegial,
Anastasius,der,schauerhaft,
Anatolicus,der,schmerzhaft,
Anatolius,der,verstimmt,
Anaut,der,apathisch,
Anaxagoras,der,energisch,
Anaxandridas,der,ungehobelt,
Anaxandrides,der,kolossal,
Anaxandros,der,apodiktisch,
Anaxarchos,der,erbost,
Anaxilaus,der,ausschweifend,
Anaximander,der,heftig,
Anaximenes,der,ungenießbar,
Anaxis,der,unnachgiebig,
Anaxos,der,rücksichtslos,
Ancelin,der,heillos,
Ancelm,der,fest,
Ancelmus,der,diktatorisch,
Ancelot,der,handgemein,
Anchialus,der,egoistisch,
Anchier,der,beklemmend,
Anchimolios,der,gewaltsam,
Anchises,der,gruslig,
Anchitel,der,dumpf,
Ancus,der,massiv,
Andagis,der,unausstehlich,
Ander,der,wutentbrannt,
Andhari,der,arg,
Andima,der,derb,
Andoitz,der,hart,
Andokides,der,verärgert,
Andolin,der,unfreundlich,
Andoni,der,gehörig,
Andraemon,der,gravierend,
Andrash,der,strikt,
Andrea,der,unbeeindruckt,
Andreas,der,graus,
Andreu,der,tyrannisch,
Andrew,der,kompromisslos,
Andries,der,grausam,
Androbulos,der,harsch,
Androcles,der,brüsk,
Androdamos,der,schlagend,
Androgeus,der,bedenklich,
Andronicus,der,ordentlich,
Aner,der,terribel,
Aneristos,der,leidvoll,
Anfroi,der,bedrohlich,
Anfroy,der,gruslig,
Angegisis,der,taktlos,
Angilbart,der,unerbittlich,
Angilbert,der,bissig,
Anianus,der,bejammernswert,
Anicius,der,schaurig,
Aniketos,der,sadistisch,
Anisodoros,der,derb,
Anixi,der,bedenklich,
Anketel,der,tadelnswert,
Anketil,der,skandalös,
Anketin,der,kompromisslos,
Anko,der,empfindlich,
Anno,der,scharf,
Anquetil,der,böse,
Anquetin,der,fest,
Anschetillus,der,labil,
Anschitillus,der,sinnenfroh,
Anscoul,der,unnachsichtig,
Ansegisel,der,stark,
Ansehelm,der,reserviert,
Anseis,der,übelgelaunt,
Anselet,der,schauerlich,
Ansell,der,primitiv,
Ansellus,der,verflucht,
Anselm,der,medusisch,
Anselme,der,grausam,
Anselmet,der,unnahbar,
Anselmus,der,achtlos,
Ansfroi,der,ordentlich,
Ansgor,der,grimmig,
Ansgot,der,fühllos,
Anshelmus,der,unmanierlich,
Ansiau,der,gräulich,
Ansila,der,gemeinschaftsfeindlich,
Ansis,der,unnachsichtig,
Anskar,der,roh,
Ansketil,der,schrecklich,
Anskettell,der,unerträglich,
Ansobert,der,gesinnt,
Ansout,der,ungestüm,
Ansprand,der,hundekalt,
Anstill,der,böse,
Ansure,der,energisch,
Antaeus,der,graus,
Antagoras,der,gewissenlos,
Antemion,der,frech,
Antenor,der,schwer,
Anter,der,verärgert,
Anthelme,der,gemütsarm,
Anthemion,der,tierisch,
Anthemius,der,sündig,
Anthimus,der,gehörig,
Anthon,der,schäbig,
Anthonius,der,unlieb,
Antichares,der,stark,
Antidoros,der,eisern,
Antigenes,der,schauererregend,
Antigonos,der,verärgert,
Antikles,der,totalitär,
Antilochus,der,libidinös,
Antinous,der,bewusstlos,
Antiochus,der,skrupellos,
Antipatris,der,blutdürstig,
Antipatros,der,unnahbar,
Antiphales,der,kaltschnäuzig,
Antiphones,der,bitterlich,
Antiphus,der,verdammt,
Antisthenes,der,widersprüchlich,
Antoinne,der,stumpf,
Anton,der,fühllos,
Antoni,der,steinern,
Antonius,der,übermäßig,
Antonius,der,abscheuerregend,
Antony,der,egoistisch,
Antoynel,der,mürrisch,
Antso,der,ungeschliffen,
Antton,der,mürrisch,
Antxoka,der,bedenklich,
Antyaume,der,rüde,
Anysus,der,stumpf,
Anytos,der,gewissenlos,
Anytus,der,eisig,
Aoric,der,dumm,
Apahida,der,wirksam,
Apal,der,griesgrämig,
Apat,der,eisenfest,
Apelles,der,betäubt,
Apellicon,der,unempfindlich,
Aphidnos,der,betrüblich,
Api,der,gruslig,
Apisaon,der,gräulich,
Apollodoros,der,flegelhaft,
Apollophanes,der,hartherzig,
Apollos,der,unheilvoll,
Arabante,der,haarsträubend,
Arabo,der,skrupellos,
Araimfres,der,seelenlos,
Aralar,der,leidig,
Arano,der,verneinend,
Aranold,der,heftig,
Arapeta,der,gewissenlos,
Aratus,der,stumpf,
Aratz,der,schmerzlich,
Arbert,der,grimmig,
Arbitio,der,frigide,
Arbogast,der,gesinnt,
Arbogastes,der,greulich,
Arcadius,der,fürchterlich,
Arcas,der,triebhaft,
Arcavius,der,furchterregend,
Arcebaldus,der,höllisch,
Arcenbaldus,der,temperamentlos,
Arcesilaus,der,schaudervoll,
Archagoras,der,gräulich,
Archambaud,der,unbewegt,
Archel,der,schauerhaft,
Archelaos,der,unerbittlich,
Archembald,der,ungestüm,
Archeptolemus,der,verabscheuenswürdig,
Archesilaus,der,libidinös,
Archestratidas,der,ungehorsam,
Archetel,der,roh,
Archil,der,schauervoll,
Archilochus,der,derb,
Archimbalt,der,unlieb,
Archytas,der,infernal,
Arcidamus,der,satanisch,
Arcturus,der,abscheulich,
Arculf,der,rigoros,
Ardabur,der,wollüstig,
Ardaric,der,schauervoll,
Ardoin,der,irrsinnig,
Areilycus,der,beunruhigend,
Areisius,der,frostig,
Areithous,der,disziplinarisch,
Arenvald,der,grässlich,
Aresti,der,fühllos,
Argades,der,unerträglich,
Argaeus,der,unbeherrscht,
Argaith,der,niederträchtig,
Argi,der,traurig,
Argider,der,wutschnaubend,
Argina,der,fühlbar,
Argoitz,der,gefühlsarm,
Argos,der,bedrohlich,
Ariald,der,traurig,
Ariaric,der,unausstehlich,
Aribert,der,katastrophal,
Arichis,der,schreckhaft,
Aridolis,der,gnadenlos,
Arimir,der,ungerührt,
Arioald,der,albtraumhaft,
Arion,der,leidvoll,
Aripert,der,ernst,
Ariphron,der,unkollegial,
Aristaeus,der,albtraumhaft,
Aristagoras,der,kompromisslos,
Aristaios,der,unbeherrscht,
Aristandros,der,bestimmt,
Aristarchos,der,peinigend,
Aristarchus,der,gemeinschaftsfeindlich,
Aristides,der,unsentimental,
Aristion,der,gräulich,
Aristippus,der,lächelnd,
Aristoboulos,der,frostklirrend,
Aristobulus,der,gestählt,
Aristocles,der,schaudererregend,
Aristocypros,der,grausam,
Aristodemos,der,schauderbar,
Aristogeiton,der,strikt,
Aristomachos,der,angsteinflößend,
Ariston,der,angsterregend,
Aristonous,der,hingabefähig,
Aristonymos,der,quälend,
Aristophanes,der,kompakt,
Aristophantes,der,beunruhigend,
Aristos,der,unmanierlich,
Aristotles,der,wollüstig,
Aristoxenus,der,grässlich,
Arius,der,verflucht,
Arixo,der,grobsinnlich,
Armand,der,gravierend,
Armando,der,entsetzlich,
Armant,der,dämonisch,
Armatus,der,verhängnisvoll,
Armenius,der,gefühlskalt,
Armentarius,der,mitleidslos,
Armin,der,schauervoll,
Armine,der,egoistisch,
Arminel,der,verwerflich,
Armundus,der,unsanft,
Arnaitz,der,vehement,
Arnald,der,unnachsichtig,
Arnaldus,der,gespenstisch,
Arnalt,der,arg,
Arnas,der,herb,
Arnaud,der,unselig,
Arnaut,der,schaudervoll,
Arnegis,der,derb,
Arnegliscus,der,engherzig,
Arnet,der,gruselig,
Arnoald,der,apodiktisch,
Arnold,der,kummervoll,
Arnoldus,der,unartig,
Arnott,der,wütend,
Arnoul,der,menschenfeindlich,
Arnould,der,satanisch,
Arnulf,der,unzugänglich,
Arnwald,der,menschenfeindlich,
Arold,der,schief,
Arotza,der,fühlbar,
Arrabaios,der,schaudererregend,
Arrats,der,ruppig,
Arridaios,der,hässlich,
Arrosko,der,missgelaunt,
Arsaphius,der,unempfindlich,
Arsenios,der,stark,
Arsenius,der,eiskalt,
Arsieu,der,harsch,
Artaud,der,roh,
Artavasdas,der,handgemein,
Artemas,der,lächelnd,
Artemidoros,der,unerbittlich,
Artemios,der,mitleidslos,
Artemisthenes,der,ungehorsam,
Arter,der,gesinnt,
Arther,der,fanatisch,
Artheur,der,erbost,
Arthurius,der,empört,
Arthurus,der,beachtlich,
Artizar,der,skrupellos,
Artor,der,misanthropisch,
Artos,der,schaudervoll,
Artur,der,unsanft,
Arturus,der,übel,
Artus,der,außerordentlich,
Artzai,der,herb,
Artzeiz,der,empfindungslos,
Arvandus,der,straff,
Arvide,der,eingeschlafen,
Arybbas,der,bitter,
Asasthenes,der,gewichtig,
Asbad,der,stark,
Asbadus,der,flegelhaft,
Ascalaphus,der,rücksichtslos,
Ascalo,der,derb,
Ascanius,der,schauervoll,
Ascelin,der,barsch,
Ascelyn,der,radikal,
Aschetel,der,rigoros,
Aschetil,der,schauderbar,
Aschetin,der,hochnäsig,
Aschines,der,übellaunig,
Ascila,der,beklagenswert,
Asdrubal,der,animalisch,
Asentzio,der,verwerflich,
Asier,der,gesinnt,
Asius,der,unbeherrscht,
Askell,der,despotisch,
Asketel,der,erschrecklich,
Asketin,der,unbeschreiblich,
Asklepios,der,leidig,
Asonides,der,übel,
Asopodoros,der,wutentbrannt,
Asopus,der,unzugänglich,
Aspar,der,indigniert,
Asphalion,der,unerträglich,
Aspuanis,der,energisch,
Assaraeus,der,besorgniserregend,
Asselin,der,hemmungslos,
Astacos,der,lüstern,
Astegal,der,ruppig,
Astell,der,beachtlich,
Aster,der,beklemmend,
Asteri,der,skandalös,
Asterion,der,erschrecklich,
Asterius,der,hingabefähig,
Asteropaeus,der,brüsk,
Astigar,der,gefühllos,
Astin,der,missgelaunt,
Astor,der,taktlos,
Astorge,der,unfreundlich,
Astrabacus,der,leidvoll,
Astyanax,der,unglaublich,
Atacinus,der,sarkastisch,
Atarrabi,der,bedrohend,
Atarratze,der,inhuman,
Ataulf,der,unerträglich,
Ataulph,der,erschröcklich,
Athalaric,der,gemeinschaftsfeindlich,
Athalwolf,der,hemmungslos,
Athamas,der,rabiat,
Athanagild,der,erschreckend,
Athanaric,der,fest,
Atharid,der,streng,
Athaulf,der,heikel,
Athelard,der,kalt,
Athelardus,der,beklemmend,
Athelstan,der,unangenehm,
Athelston,der,ätzend,
Athenades,der,indigniert,
Athenaeus,der,gewaltig,
Athenion,der,verneinend,
Athenodorus,der,handgreiflich,
Atiphates,der,fühllos,
Atreus,der,apodiktisch,
Atrometos,der,übellaunig,
Atseden,der,erbittert,
Attaginas,der,frostklirrend,
Attaginos,der,rau,
Attalos,der,triebhaft,
Atymnius,der,ungestüm,
Atys,der,kalt,
Atze,der,mitleidlos,
Atzo,der,frech,
Aubelet,der,schmerzhaft,
Auberi,der,gruselig,
Aubert,der,rau,
Aubertin,der,apathisch,
Aubery,der,kühl,
Aubin,der,schauererregend,
Aubinnet,der,kannibalisch,
Aubour,der,unmanierlich,
Aubray,der,plump,
Aubri,der,schauerhaft,
Aubry,der,übermäßig,
Audax,der,übelgelaunt,
Audegar,der,barbarisch,
Audemar,der,drakonisch,
Audila,der,stumpfsinnig,
Audo,der,bedenkenlos,
Audoen,der,despotisch,
Audoenus,der,terribel,
Audoin,der,beängstigend,
Audomar,der,leidig,
Audoneus,der,brummig,
Audouin,der,unglaublich,
Audramnus,der,ätzend,
Audri,der,einschneidend,
Augebert,der,streng,
Augias,der,grobsinnlich,
Auguinare,der,grell,
Augustinus,der,ungeheuer,
Auletes,der,grantig,
Aunger,der,dickfellig,
Aunsellus,der,gallig,
Aurel,der,ungeschliffen,
Aurken,der,unliebsam,
Aurre,der,verneinend,
Aurri,der,ungestüm,
Ausout,der,beträchtlich,
Austin,der,unnachsichtig,
Austinus,der,apodiktisch,
Austyn,der,besorgniserregend,
Autesion,der,greislich,
Autgar,der,herzzerreißend,
Authari,der,albtraumhaft,
Autodikos,der,außerordentlich,
Autolycus,der,hundekalt,
Autolykos,der,animalisch,
Automedon,der,schmerzhaft,
Autonous,der,unmenschlich,
Auveray,der,unnahbar,
Auvere,der,energisch,
Auveré,der,ausschweifend,
Auvrai,der,handgreiflich,
Auxitius,der,teuflisch,
Auxkin,der,brutal,
Avenel,der,infernal,
Averardus,der,besorgniserregend,
Averay,der,erschrecklich,
Avere,der,eisenfest,
Averet,der,kummervoll,
Averey,der,dickfellig,
Averitt,der,rabiat,
Avery,der,traurig,
Avienus,der,haarsträubend,
Avila,der,achtlos,
Axular,der,verneinend,
Axylus,der,verroht,
Aylard,der,unbeherrscht,
Aylbricht,der,verwerflich,
Aylewynus,der,sadistisch,
Aylmer,der,radikal,
Aylmerus,der,libidinös,
Aymar,der,skandalös,
Aymer,der,ungesittet,
Aymeri,der,tödlich,
Aymie,der,tödlich,
Aymon,der,schreckbar,
Ayol,der,gespenstisch,
Azeari,der,unangenehm,
Azelinus,der,widerlich,
Azémar,der,kalt,
Azer,der,rigoros,
Azeus,der,lächelnd,
Azibar,der,taub,
Aznar,der,gefühlsarm,
Azorius,der,handgemein,
Aztore,der,gehörig,
Azubeli,der,makaber,
Azur,der,ungehörig,
Azzo,der,unausstehlich,
Baalhaan,der,autoritär,
Babai,der,achtlos,
Babylas,der,fürchterlich,
Bacauda,der,betäubt,
Bacchides,der,gemütlos,
Bacchios,der,steinern,
Bacchylides,der,herrisch,
Bacenor,der,drakonisch,
Bacis,der,ordentlich,
Baderon,der,kummervoll,
Badouim,der,heikel,
Badua,der,schlimm,
Baduaruis,der,betrüblich,
Baduila,der,unliebsam,
Baerius,der,handfest,
Baiardo,der,gruselig,
Baiarte,der,unnahbar,
Baiona,der,ungesittet,
Bakar,der,skrupellos,
Baladi,der,qualvoll,
Balan,der,gefühlsarm,
Balasi,der,ungehörig,
Baldavin,der,flegelhaft,
Baldemarus,der,außergewöhnlich,
Baldewin,der,arg,
Baldewyn,der,unwahr,
Baldewyne,der,libidinös,
Baldric,der,aggressiv,
Balduin,der,achtlos,
Baldwyn,der,unbarmherzig,
Balendin,der,grimmig,
Baleren,der,empfindungslos,
Balesio,der,greulich,
Balian,der,sündig,
Baligant,der,verhängnisvoll,
Balius,der,kalt,
Bangin,der,apathisch,
Baptiste,der,gnadenlos,
Barat,der,lächelnd,
Barates,der,ruppig,
Baraxil,der,ungesittet,
Bardas,der,medusisch,
Bardin,der,ekelhaft,
Bardo,der,verletzend,
Bardol,der,frech,
Bardolf,der,libidinös,
Bardolphus,der,qualvoll,
Bardulphus,der,verdammt,
Barea,der,unliebsam,
Baret,der,furchtbar,
Barnard,der,sinnenfroh,
Barnet,der,borstig,
Barnier,der,grobsinnlich,
Baro,der,verroht,
Barret,der,seelenlos,
Barrett,der,falsch,
Barthélemy,der,sinnenfroh,
Bartholomeus,der,unbeschreiblich,
Bartram,der,unbeschreiblich,
Bartrem,der,beklemmend,
Basajaun,der,teilnahmslos,
Basan,der,unkultiviert,
Basbrun,der,dornenreich,
Basequin,der,herb,
Basile,der,falsch,
Basileides,der,kränkend,
Basileios,der,schaudererregend,
Basiliakos,der,zornig,
Basilides,der,destruktiv,
Basilius,der,herzzerreißend,
Basill,der,unfreundlich,
Baso,der,falsch,
Basuin,der,knallhart,
Basyle,der,verdammt,
Bathyaes,der,engstirnig,
Batsuen,der,unliebsam,
Batzas,der,beträchtlich,
Baudet,der,verdammt,
Baudkin,der,gefühlskalt,
Baudoin,der,graus,
Baudouin,der,unangenehm,
Baudoyn,der,beachtlich,
Baudry,der,übermäßig,
Baugulf,der,heikel,
Bausan,der,furchtbar,
Baut,der,makaber,
Bauto,der,erschreckend,
Bavo,der,ernst,
Bawden,der,gehörig,
Bayard,der,diabolisch,
Baynard,der,gefühllos,
Baza,der,martervoll,
Bazil,der,seelenlos,
Bazkoare,der,ungehobelt,
Bazzo,der,benommen,
Beat,der,eisenfest,
Beatus,der,verstimmt,
Beaudonnier,der,soldatisch,
Beaudouin,der,übel,
Begon,der,betäubt,
Begue,der,verwerflich,
Behe,der,ungerecht,
Beila,der,kaltherzig,
Bela,der,hässlich,
Belasko,der,grausam,
Belin,der,handgreiflich,
Belos,der,entsetzenerregend,
Beltxe,der,unsentimental,
Beltza,der,mörderisch,
