name,gender,attribute,id
Roberge,die,diktatorisch,
Oenomaus,der,missgelaunt,
Remismund,der,schnöde,
Amauri,der,frostklirrend,
Glaukias,der,seelenlos,
Argeia,die,rabiat,
Owayne,der,grauenhaft,
Aaltje,die,tyrannisch,
Allen,der,übelgelaunt,
Herculles,der,schlagend,
Apat,der,eisenfest,
Cyra,die,quälend,
Etxatxu,der,falsch,
Waldolanus,der,gefühlsarm,
Galien,der,saukalt,
Zenobia,die,unartig,
Oydela,die,schauderhaft,
Mauger,der,verletzend,
Senebaut,der,heillos,
Wiebt,der,ordentlich,
Lanslet,der,erbost,
Phelyp,der,unerhört,
Alexon,der,intensiv,
Lore,die,leidvoll,
Edytha,die,verneinend,
Felippo,der,horrend,
Lecenta,die,rabiat,
Thancheri,der,greulich,
Eupatarius,der,betäubt,
Molara,die,unbeteiligt,
Yuli,der,albtraumhaft,
Richomeres,der,schreckhaft,
Ellaire,die,graus,
Antxone,die,unbeteiligt,
Pittheus,der,quälerisch,
Aye,die,bejammernswert,
Roheisia,die,verdammt,
Elurreta,die,eisig,
Carle,der,übelgelaunt,
Dorthy,die,kolossal,
Mintho,der,unfreundlich,
Firman,der,schauerlich,
Uda,die,mitleidlos,
Thurstanus,der,verabscheuenswürdig,
Awhina,die,rigoros,
Marcule,der,unglaublich,
Costane,der,engstirnig,
Aime,der,ruppig,
Erdoza,die,quälerisch,
Theognosia,die,unbeherrscht,
Aránzazu,die,unempfänglich,
Heribert,der,intensiv,
Loren,der,gesinnt,
Marcel,der,leidig,
Erchenbaldus,der,stumpf,
Meite,die,fürchterlich,
Hicket,der,hundekalt,
Geuffroi,der,ungenießbar,
Sancha,die,sinnenfroh,
Argoitz,der,gefühlsarm,
Vivien,der,wollüstig,
Azémar,der,kalt,
Gisilbert,der,hartherzig,
Ingrannus,der,seelenlos,
Arantxa,die,schief,
Aritzaga,die,brutal,
Masticana,die,zornig,
Rolant,der,skandalös,
Andromeda,die,unpassend,
Colina,die,roh,
Rusticana,die,viehisch,
Fastida,der,interesselos,
Dalfin,der,radikal,
Athaulf,der,heikel,
Scholast,die,dumm,
Kadmos,der,brutal,
Stauracius,der,apodiktisch,
Brygos,der,unbeherrscht,
Orges,der,plump,
Maura,die,abscheulich,
Nicholaus,der,erschreckend,
Sedemaiden,die,bedauerlich,
Kinburga,die,leidenschaftslos,
Gislebertus,der,menschenfeindlich,
Walterus,der,diabolisch,
Theeste,die,rau,
Donaldus,der,schmerzlich,
Hugue,der,dickfellig,
Sawney,der,schwierig,
Paynel,der,menschenfeindlich,
Stheneboea,die,tödlich,
Nanno,der,schauderhaft,
Aita,der,seelenlos,
Amelina,die,taub,
Kordel,die,ungerührt,
Geelte,die,primitiv,
Ricohard,der,eisenhart,
Fritigern,der,gesinnt,
Houdoin,der,dornig,
Hadaken,die,unbeteiligt,
Doria,die,beklemmend,
Frouuina,die,stumpf,
Sebasteia,die,tätlich,
Sagarus,der,kaltblütig,
Areilycus,der,beunruhigend,
Aalèz,die,herzlos,
Soolet,der,leidvoll,
